what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018063451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018063510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018065664
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1316018066467
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1316018068200
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018071116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018071620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018075468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018075572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018075740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018076149
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316018080237
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316018080334
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1316018080349
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316018094985
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1316018108880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018117051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018118663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018137421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018139990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1316018149461
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1316018150810
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1316018150822
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1316018150875
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1316018150893
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1316018150898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316018153832
